epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.99267,0.76847,0.52104,0.98241,0.92432,0.89159,0.95353,0.68923,0.98418,0.54592,0.93227,0.00041441,0.00041441,0.00041441
2,17.9708,0.78779,0.52797,0.98492,0.28029,0.01349,0.05622,0.04982,nan,nan,nan,0.000834763,0.000834763,0.000834763
3,28.2482,0.79919,0.53599,0.98656,0.91356,0.85341,0.92474,0.60382,1.1683,0.70521,0.98489,0.00124663,0.00124663,0.00124663
4,38.3527,0.82445,0.55919,0.98585,0.91971,0.86531,0.94393,0.63527,1.14205,0.65451,0.99755,0.00138656,0.00138656,0.00138656
5,48.0885,0.82461,0.54942,0.99061,0.91399,0.81534,0.91326,0.60145,nan,nan,nan,0.00137241,0.00137241,0.00137241
6,57.4832,0.81844,0.56977,0.99314,0.79749,0.82397,0.8315,0.56426,nan,nan,nan,0.00135826,0.00135826,0.00135826
7,66.8934,0.8453,0.5854,0.99461,0.8974,0.85768,0.94325,0.59119,1.23518,0.75049,1.01322,0.00134412,0.00134412,0.00134412
8,76.3237,0.81612,0.56162,0.98775,0.90202,0.81817,0.92413,0.57321,1.24687,0.67342,1.00915,0.00132997,0.00132997,0.00132997
9,85.1476,0.81903,0.5484,0.9868,0.7512,0.05794,0.08971,0.05978,nan,nan,nan,0.00131582,0.00131582,0.00131582
10,94.6125,0.81211,0.54084,0.98349,0.91978,0.85156,0.94362,0.65167,1.06195,0.59254,0.94083,0.00130168,0.00130168,0.00130168
11,103.991,0.81376,0.54577,0.98656,0.94861,0.8619,0.94421,0.6659,1.05223,0.57583,0.94254,0.00128753,0.00128753,0.00128753
12,113.768,0.81173,0.53937,0.98743,0.89805,0.85715,0.8958,0.62385,nan,nan,nan,0.00127338,0.00127338,0.00127338
13,124.213,0.80249,0.5455,0.98448,0.9378,0.85284,0.94471,0.6531,1.07666,0.65088,0.96513,0.00125923,0.00125923,0.00125923
14,133.684,0.7977,0.53396,0.98488,0.87839,0.82819,0.89393,0.58872,1.17882,0.8647,0.9762,0.00124509,0.00124509,0.00124509
15,143.288,0.8056,0.53976,0.9828,0.88865,0.8695,0.93907,0.62207,1.16084,0.62651,0.97752,0.00123094,0.00123094,0.00123094
16,152.605,0.788,0.52332,0.98017,0.92225,0.84904,0.93336,0.64035,1.07757,0.67729,0.95493,0.00121679,0.00121679,0.00121679
17,162.001,0.81948,0.53655,0.98888,0.92713,0.90152,0.95117,0.64242,1.09526,0.58886,0.95522,0.00120265,0.00120265,0.00120265
18,171.516,0.78645,0.52458,0.98391,0.95432,0.86133,0.95034,0.61375,1.17717,0.60596,0.97802,0.0011885,0.0011885,0.0011885
19,181.123,0.79335,0.52611,0.98598,0.91014,0.87725,0.94306,0.59602,1.27002,0.62156,1.00067,0.00117435,0.00117435,0.00117435
20,190.714,0.78779,0.5275,0.98157,0.94994,0.90403,0.95617,0.59632,1.30317,0.5994,1.01035,0.00116021,0.00116021,0.00116021
21,201.513,0.77117,0.51103,0.97744,0.95439,0.90522,0.95695,0.67779,1.03168,0.55937,0.93704,0.00114606,0.00114606,0.00114606
